timestamp,ping,download,upload
1640578500776.682,33.38,93.56,37.27
1640582100801.859,31.05,94.53,36.81
1640585700810.149,19.41,92.36,37.03
1640589300847.383,16.94,89.98,36.43
1640592900872.261,21.84,91.41,31.34
1640596500894.718,20.0,94.35,37.32
1640600100920.849,20.22,94.19,37.23
1640603700933.893,34.15,93.51,37.64
1640607300956.5452,24.78,93.92,17.73
1640610900988.982,39.8,93.68,37.29
1640614501005.443,33.41,93.21,36.21
1640618101038.579,22.73,94.3,35.4
1640621701060.332,20.77,94.4,36.66
1640625301071.12,23.16,64.03,36.19
1640628901098.168,18.4,93.29,36.25
1640632500121.9321,18.85,93.32,36.42
1640636100136.869,28.96,88.79,34.68
1640639700166.949,20.04,89.61,35.13
1640643300199.462,22.66,91.5,33.68
1640646900214.322,37.58,93.38,36.4
1640650500234.449,23.6,92.96,37.03
1640654100270.251,47.59,93.33,36.64
1640657700283.012,23.3,91.36,37.3
1640661300317.375,15.07,94.49,36.8
1640664900333.102,17.43,94.28,37.4
1640668500367.178,17.61,94.05,34.57
1640672100371.397,14.39,94.61,35.78
1640675700402.134,15.41,94.43,34.86
1640679300424.9858,19.23,86.7,37.34
1640682900449.237,40.15,15.64,36.94
1640686500482.135,24.03,35.69,34.99
1640690100486.561,29.01,52.5,36.05
1640693700527.4329,22.86,94.25,36.86
1640697300537.82,19.59,94.32,37.13
1640700900573.584,21.82,93.98,29.8
1640704500597.03,16.66,84.62,33.54
1640708100620.809,17.6,61.47,35.75
1640711700646.565,19.64,83.66,36.38
1640715300668.174,16.09,91.35,37.12
1640718900691.925,16.13,75.52,32.31
1640722500709.899,19.08,90.39,34.09
1640726100741.799,20.29,90.79,33.59
1640729700759.185,15.91,79.66,31.97
1640733300790.127,40.12,88.72,37.27
1640736900801.685,27.9,65.61,30.53
1640740500825.153,27.62,93.85,34.5
1640744100848.3591,27.44,94.38,35.98
1640747700874.044,17.68,94.18,37.1
1640751300893.224,17.07,83.19,37.23
1640754900925.126,23.89,91.32,37.1
1640758500946.2358,16.09,93.39,37.01
1640762100962.427,19.01,94.31,37.23
1640765700985.012,41.61,51.91,33.74
1640769301014.7122,25.98,93.76,37.58
1640772901029.5159,29.16,93.4,36.59
1640776501061.847,27.99,89.08,37.16
1640780101087.514,43.49,93.16,37.55
1640783701106.017,30.7,25.18,18.24
1640787300129.962,35.37,44.37,36.28
1640790900154.2002,24.52,48.29,31.54
1640794500174.885,25.52,55.15,37.05
1640798100184.8691,29.29,79.64,37.48
1640801700217.407,24.13,93.57,36.43
1640805300242.889,24.55,93.87,37.48
1640808900273.48,21.65,72.26,34.72
1640812500297.126,17.89,91.66,35.89
